user_id,sex,city,constellation
2,1,6411949,狮子座
12,1,6412149,摩羯座
22,1,6411949,双子座
23,1,6411949,双鱼座
25,1,6481949,双鱼座
26,1,6281949,双子座
34,0,6481949,摩羯座
36,1,6281949,天秤座
42,0,6281949,水瓶座
47,1,6412149,天蝎座
49,1,6081949,摩羯座
53,0,6411949,天秤座
54,0,6281949,射手座
55,0,6481949,金牛座
58,0,6412149,天秤座
59,0,6481949,天秤座
62,1,6412149,天蝎座
65,1,6412149,白羊座
68,0,6411949,水瓶座
74,0,6281949,金牛座
80,1,6481949,处女座
81,0,6581949,双鱼座
86,1,6581949,狮子座
87,0,6411949,天秤座
96,1,6411949,水瓶座
97,1,6581949,处女座
99,1,6412149,金牛座
100,1,6412149,巨蟹座
102,0,6581949,射手座
104,0,6081949,狮子座
114,0,6281949,水瓶座
118,1,6481949,巨蟹座
119,1,6581949,金牛座
120,1,6412149,狮子座
124,1,6281949,天秤座
131,1,6281949,巨蟹座
135,0,6281949,双鱼座
137,1,6281949,射手座
139,1,6412149,天蝎座
152,1,6412149,水瓶座
162,0,6581949,双子座
163,1,6081949,金牛座
165,0,6081949,白羊座
167,0,6281949,金牛座
168,0,6481949,天秤座
172,0,6281949,双子座
174,0,6301949,摩羯座
175,0,6581949,金牛座
177,0,6481949,白羊座
183,0,6412149,摩羯座
189,0,6281949,巨蟹座
197,0,6411949,狮子座
200,0,6301949,摩羯座
204,0,6281949,双鱼座
205,1,6411949,射手座
213,0,6281949,射手座
219,0,6412149,水瓶座
220,1,6581949,天秤座
222,1,6481949,金牛座
225,0,6412149,狮子座
230,1,6411949,双鱼座
244,0,6301949,水瓶座
245,0,6481949,双鱼座
250,1,6301949,摩羯座
259,0,6301949,天秤座
266,1,6412149,双鱼座
268,1,6411949,处女座
271,1,6301949,天蝎座
279,0,6281949,双鱼座
281,0,6581949,狮子座
284,1,6481949,处女座
285,0,6411949,白羊座
291,1,6412149,白羊座
292,1,6281949,双子座
303,0,6411949,处女座
305,1,6412149,金牛座
314,1,6412149,巨蟹座
316,1,6411949,射手座
318,0,6581949,双子座
327,0,6481949,摩羯座
328,1,6412149,处女座
339,0,6411949,处女座
340,1,6412149,射手座
346,1,6411949,处女座
348,1,6581949,巨蟹座
354,0,6412149,狮子座
355,1,6412149,双鱼座
357,1,6412149,水瓶座
364,1,6301949,白羊座
375,1,6481949,天蝎座
382,1,6411949,水瓶座
392,0,6081949,狮子座
393,0,6411949,巨蟹座
404,1,6411949,白羊座
411,0,6411949,天秤座
412,1,6412149,天蝎座
414,0,6581949,白羊座
415,0,6481949,处女座
422,1,6581949,水瓶座
426,1,6081949,金牛座
429,0,6281949,巨蟹座
435,0,6081949,双子座
436,0,6281949,金牛座
447,0,6411949,金牛座
452,1,6411949,金牛座
471,1,6411949,天秤座
475,1,6412149,水瓶座
478,0,6411949,巨蟹座
481,1,6081949,天蝎座
482,0,6412149,巨蟹座
492,0,6281949,巨蟹座
499,1,6411949,巨蟹座
511,0,6301949,天蝎座
512,0,6412149,双子座
515,0,6081949,金牛座
517,0,6411949,白羊座
518,0,6301949,巨蟹座
519,1,6411949,天秤座
523,0,6481949,摩羯座
527,1,6301949,巨蟹座
531,1,6412149,摩羯座
532,0,6411949,双子座
533,1,6481949,天秤座
535,0,6081949,水瓶座
539,1,6081949,天蝎座
541,1,6281949,狮子座
543,1,6412149,双鱼座
546,1,6281949,巨蟹座
548,1,6081949,金牛座
553,1,6281949,白羊座
554,1,6281949,射手座
571,1,6281949,狮子座
572,1,6281949,射手座
583,0,6412149,巨蟹座
585,0,6481949,狮子座
588,0,6581949,摩羯座
592,0,6412149,处女座
595,1,6481949,狮子座
599,1,6411949,天蝎座
600,1,6412149,双子座
603,1,6412149,射手座
615,0,6281949,双子座
620,1,6412149,处女座
621,1,6481949,天蝎座
624,0,6411949,处女座
629,1,6481949,射手座
630,1,6281949,射手座
631,0,6281949,白羊座
635,0,6301949,狮子座
